transaction_id,timestamp,user_id,user_role,transaction_type,electricity_quantity,price_per_mwh,total_cost,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id,transaction_status,grid_region,smart_meter_id,grid_demand_state,weather_condition,energy_source,carbon_tax_fee
TXN2824,2025-02-14 10:01:42,U5506,Dealer,Buy,22.56,31.02,699.81,28,Low,AES,0,Slice_C,Pending,South_Zone,MTR-0080,Normal,Clear Night,Wind,0.0
TXN1520,2025-02-14 10:02:02,U2535,Dealer,Buy,55.48,30.27,1679.38,11,Low,RSA,0,Slice_A,Pending,South_Zone,MTR-0113,Normal,Clear Night,Hydro,0.0
TXN5557,2025-02-14 10:55:15,U1106,Dealer,Sell,40.62,31.55,1281.56,29,Medium,AES,1,Slice_A,Pending,Rural_Grid,MTR-0391,Normal,Clear Night,Wind,0.0
TXN2584,2025-02-14 10:24:30,U6635,Authority,,0.0,0.0,0.0,13,High,TDKE,1,Slice_C,Pending,South_Zone,MTR-0478,Normal,Stormy,Coal,0.0
TXN9785,2025-02-14 10:08:31,U7201,Dealer,Sell,84.65,36.19,3063.48,16,Low,AES,0,Slice_C,Success,Metro_Hub,MTR-0071,Normal,Sunny,Hydro,0.0
TXN1750,2025-02-14 10:45:08,U4733,Supplier,Buy,86.98,38.66,3362.65,17,Medium,RSA,1,Slice_C,Pending,Metro_Hub,MTR-0164,Normal,Cloudy,Natural Gas,173.96
TXN3664,2025-02-14 10:25:16,U6820,Dealer,Sell,73.16,36.84,2695.21,7,Low,AES,0,Slice_C,Failed,Industrial_Park,MTR-0093,Normal,Heatwave,Coal,329.22
TXN5010,2025-02-14 10:11:09,U8573,Supplier,Sell,99.06,36.4,3605.78,22,High,TDKE,1,Slice_C,Pending,North_Zone,MTR-0240,Normal,Sunny,Natural Gas,198.12
TXN1916,2025-02-14 10:15:38,U1525,Supplier,Sell,34.1,32.11,1094.95,23,Low,RSA,0,Slice_A,Failed,Industrial_Park,MTR-0362,Normal,Sunny,Solar,0.0
TXN9179,2025-02-14 10:27:00,U8517,Dealer,Sell,22.57,37.45,845.25,22,Medium,RSA,1,Slice_C,Pending,South_Zone,MTR-0084,Normal,Stormy,Hydro,0.0
TXN6930,2025-02-14 10:14:58,U3266,Authority,,0.0,0.0,0.0,20,High,TDKE,1,Slice_A,Success,Rural_Grid,MTR-0020,Normal,Heatwave,Hydro,0.0
TXN3504,2025-02-14 10:42:50,U3621,Authority,,0.0,0.0,0.0,18,Low,AES,0,Slice_B,Pending,Industrial_Park,MTR-0220,Normal,Clear Night,Coal,0.0
TXN8668,2025-02-14 10:36:07,U5119,Authority,,0.0,0.0,0.0,5,Low,AES,0,Slice_C,Failed,Metro_Hub,MTR-0387,Normal,Clear Night,Natural Gas,0.0
TXN5371,2025-02-14 10:52:28,U6573,Dealer,Sell,49.13,34.54,1696.95,28,Low,RSA,0,Slice_C,Success,North_Zone,MTR-0176,Normal,Stormy,Natural Gas,98.26
TXN9317,2025-02-14 10:07:15,U5889,Authority,,0.0,0.0,0.0,21,Low,AES,0,Slice_A,Pending,Industrial_Park,MTR-0271,Normal,Heatwave,Solar,0.0
TXN3646,2025-02-14 10:36:49,U9689,Dealer,Sell,53.97,31.12,1679.55,16,Medium,AES,1,Slice_A,Success,Rural_Grid,MTR-0406,Normal,Stormy,Coal,242.87
TXN2290,2025-02-14 10:05:50,U8962,Dealer,Buy,21.56,34.75,749.21,22,High,TDKE,1,Slice_B,Failed,South_Zone,MTR-0300,Normal,Cloudy,Coal,97.02
TXN7932,2025-02-14 10:14:27,U9835,Authority,,0.0,0.0,0.0,27,High,TDKE,1,Slice_C,Pending,South_Zone,MTR-0464,Normal,Sunny,Natural Gas,0.0
TXN7537,2025-02-14 10:45:51,U7118,Supplier,Sell,20.89,32.25,673.7,15,High,TDKE,1,Slice_C,Failed,Rural_Grid,MTR-0048,Normal,Heatwave,Hydro,0.0
TXN4770,2025-02-14 10:40:10,U4608,Dealer,Buy,73.71,30.59,2254.79,7,High,TDKE,1,Slice_B,Success,North_Zone,MTR-0254,Normal,Sunny,Solar,0.0
TXN9423,2025-02-14 10:16:14,U5562,Authority,,0.0,0.0,0.0,20,High,TDKE,1,Slice_C,Success,Industrial_Park,MTR-0155,Normal,Clear Night,Hydro,0.0
TXN8744,2025-02-14 10:16:35,U8749,Supplier,Buy,18.49,36.59,676.55,16,Medium,RSA,1,Slice_B,Failed,Rural_Grid,MTR-0391,Normal,Clear Night,Coal,83.2
TXN1887,2025-02-14 10:45:58,U2612,Dealer,Sell,75.54,38.01,2871.28,8,High,TDKE,1,Slice_A,Success,Industrial_Park,MTR-0121,Normal,Clear Night,Hydro,0.0
TXN9786,2025-02-14 10:30:37,U3296,Supplier,Buy,35.07,32.5,1139.78,7,Medium,AES,1,Slice_A,Failed,North_Zone,MTR-0167,Normal,Sunny,Solar,0.0
TXN9856,2025-02-14 10:57:04,U1241,Dealer,Buy,24.97,34.86,870.45,11,Medium,AES,1,Slice_A,Pending,Metro_Hub,MTR-0035,Normal,Heatwave,Coal,112.36
TXN1035,2025-02-14 10:26:39,U5345,Supplier,Sell,48.07,39.57,1902.13,30,Low,RSA,0,Slice_A,Success,Rural_Grid,MTR-0132,Normal,Clear Night,Natural Gas,96.14
TXN5861,2025-02-14 10:14:51,U1958,Authority,,0.0,0.0,0.0,28,Low,AES,0,Slice_C,Pending,South_Zone,MTR-0430,Normal,Sunny,Solar,0.0
TXN1936,2025-02-14 10:03:25,U8811,Authority,,0.0,0.0,0.0,21,High,TDKE,1,Slice_A,Failed,South_Zone,MTR-0150,Normal,Cloudy,Wind,0.0
TXN2312,2025-02-14 10:58:07,U4044,Dealer,Buy,70.77,32.35,2289.41,8,Low,AES,0,Slice_C,Failed,South_Zone,MTR-0244,Normal,Clear Night,Coal,318.46
TXN1651,2025-02-14 10:42:16,U2343,Supplier,Sell,94.12,32.04,3015.6,27,Medium,AES,1,Slice_B,Pending,South_Zone,MTR-0251,Normal,Stormy,Coal,423.54
TXN3144,2025-02-14 10:45:51,U5915,Supplier,Sell,93.61,39.36,3684.49,5,Medium,AES,1,Slice_A,Failed,North_Zone,MTR-0038,Normal,Sunny,Solar,0.0
TXN4492,2025-02-14 10:34:32,U5345,Dealer,Sell,89.28,38.79,3463.17,16,Medium,AES,1,Slice_B,Failed,Industrial_Park,MTR-0204,Normal,Cloudy,Hydro,0.0
TXN5956,2025-02-14 10:41:45,U9666,Dealer,Sell,93.86,31.04,2913.41,9,Medium,AES,1,Slice_A,Failed,Rural_Grid,MTR-0112,Normal,Stormy,Wind,0.0
TXN3546,2025-02-14 10:18:35,U5616,Authority,,0.0,0.0,0.0,11,Low,RSA,0,Slice_A,Failed,North_Zone,MTR-0428,Normal,Sunny,Solar,0.0
TXN5325,2025-02-14 10:34:30,U9004,Supplier,Buy,18.31,34.24,626.93,13,High,TDKE,1,Slice_A,Pending,Metro_Hub,MTR-0127,Normal,Clear Night,Coal,82.39
TXN3143,2025-02-14 10:43:29,U5291,Dealer,Sell,59.65,34.28,2044.8,5,High,TDKE,1,Slice_A,Failed,North_Zone,MTR-0315,Normal,Heatwave,Natural Gas,119.3
TXN3442,2025-02-14 10:37:14,U1590,Supplier,Buy,48.68,30.42,1480.85,16,High,TDKE,1,Slice_B,Success,Rural_Grid,MTR-0053,Normal,Heatwave,Hydro,0.0
TXN5088,2025-02-14 10:45:31,U2684,Supplier,Sell,97.65,37.49,3660.9,12,High,TDKE,1,Slice_A,Pending,Metro_Hub,MTR-0437,Normal,Sunny,Solar,0.0
TXN1406,2025-02-14 10:12:14,U6442,Supplier,Buy,34.01,37.87,1287.96,8,Medium,AES,1,Slice_B,Success,Metro_Hub,MTR-0033,Normal,Clear Night,Coal,153.04
TXN4269,2025-02-14 10:55:44,U8541,Supplier,Sell,83.85,38.71,3245.83,12,High,TDKE,1,Slice_C,Success,Industrial_Park,MTR-0251,Normal,Heatwave,Solar,0.0
TXN7528,2025-02-14 10:22:24,U5564,Dealer,Sell,41.6,35.09,1459.74,26,Low,RSA,0,Slice_A,Success,North_Zone,MTR-0310,Normal,Heatwave,Coal,187.2
TXN5279,2025-02-14 10:12:11,U5349,Dealer,Buy,63.69,33.46,2131.07,30,Medium,RSA,1,Slice_C,Failed,Industrial_Park,MTR-0290,Normal,Clear Night,Coal,286.61
TXN2894,2025-02-14 10:26:17,U4114,Supplier,Buy,73.79,30.02,2215.18,30,Low,AES,0,Slice_B,Pending,South_Zone,MTR-0488,Normal,Heatwave,Solar,0.0
TXN2146,2025-02-14 10:45:20,U6409,Authority,,0.0,0.0,0.0,15,Low,AES,0,Slice_C,Pending,South_Zone,MTR-0193,Normal,Cloudy,Wind,0.0
TXN9308,2025-02-14 10:21:06,U7691,Supplier,Sell,72.75,35.54,2585.53,11,Medium,RSA,1,Slice_C,Failed,South_Zone,MTR-0345,Normal,Clear Night,Coal,327.38
TXN3851,2025-02-14 10:42:01,U5930,Supplier,Buy,37.35,32.1,1198.94,30,Low,RSA,0,Slice_B,Pending,South_Zone,MTR-0271,Normal,Sunny,Solar,0.0
